accuracy,error_rate,n,signal
0.932,0.06799999999999995,250,rubric_stable
0.62,0.38,50,rubric_unstable
0.7289719626168224,0.2710280373831776,107,position_consistent
0.9637305699481865,0.03626943005181349,193,position_inconsistent
0.8578431372549019,0.1421568627450981,204,self_high
0.9270833333333334,0.07291666666666663,96,self_low
