accepted,accuracy_accepted,cal_auprc,cal_auroc,cal_brier,cal_ece,cal_n_labeled,ci_high,ci_low,coverage,dataset,mean_cost,method,n,n_test,raw_accuracy,risk_accepted,seed,threshold
66.0,0.9393939393939394,0.9465277834245182,0.6437177280550774,0.08952106824867294,0.09226170379171815,90.0,0.9848484848484849,0.8787878787878788,0.7333333333333333,tldr,0.0,logistic_fusion,90.0,90,0.9222222222222223,0.06060606060606055,0,0.9445432323691941
0.0,,0.9006765471823701,0.5249569707401033,0.07466666666666667,0.0933333333333333,90.0,,,0.0,tldr,0.0,best_single_signal,90.0,90,0.9222222222222223,,0,1.01
0.0,,0.8692164447621203,0.4819277108433735,0.07911111111111112,0.08444444444444446,90.0,,,0.0,tldr,0.0,max_signal,90.0,90,0.9222222222222223,,0,1.01
0.0,,0.9006765471823701,0.5249569707401033,0.07466666666666667,0.0933333333333333,90.0,,,0.0,tldr,0.0,rubric_only,90.0,90,0.9222222222222223,,0,1.01
0.0,,0.8400129257215456,0.18072289156626506,0.6666666666666666,0.6666666666666666,90.0,,,0.0,tldr,0.0,swap_only,90.0,90,0.9222222222222223,,0,1.01
0.0,,0.8755024240932222,0.41480206540447506,0.10370370370370362,0.15555555555555556,90.0,,,0.0,tldr,0.0,self_only,90.0,90,0.9222222222222223,,0,1.01
90.0,0.9222222222222223,0.8712368193687442,0.5,0.25,0.4222222222222223,90.0,0.9666666666666667,0.8666666666666667,1.0,tldr,0.0,raw,90.0,90,0.9222222222222223,0.07777777777777772,0,0.0
65.0,0.8769230769230769,0.886496637967311,0.5764235764235764,0.11809681247581322,0.12821845826138642,90.0,0.9538461538461539,0.7846153846153846,0.7222222222222222,tldr,0.0,logistic_fusion,90.0,90,0.8555555555555555,0.12307692307692308,1,0.979193052293634
0.0,,0.9006764608193736,0.6788211788211789,0.12000000000000001,0.09777777777777774,90.0,,,0.0,tldr,0.0,best_single_signal,90.0,90,0.8555555555555555,,1,1.01
0.0,,0.8048709525037732,0.487012987012987,0.14691358024691356,0.15185185185185185,90.0,,,0.0,tldr,0.0,max_signal,90.0,90,0.8555555555555555,,1,1.01
0.0,,0.9006764608193736,0.6788211788211789,0.12000000000000001,0.09777777777777774,90.0,,,0.0,tldr,0.0,rubric_only,90.0,90,0.8555555555555555,,1,1.01
0.0,,0.749180175171307,0.2712287712287712,0.7,0.7,90.0,,,0.0,tldr,0.0,swap_only,90.0,90,0.8555555555555555,,1,1.01
0.0,,0.7973906591495239,0.44655344655344653,0.1580246913580246,0.18518518518518517,90.0,,,0.0,tldr,0.0,self_only,90.0,90,0.8555555555555555,,1,1.01
90.0,0.8555555555555555,0.805147238914143,0.5,0.25,0.3555555555555555,90.0,0.9222222222222223,0.7777777777777778,1.0,tldr,0.0,raw,90.0,90,0.8555555555555555,0.1444444444444445,1,0.0
90.0,0.8777777777777778,0.9536559828238232,0.8043728423475259,0.07161423527890515,0.025630055731964644,90.0,0.9444444444444444,0.8,1.0,tldr,0.0,logistic_fusion,90.0,90,0.8777777777777778,0.12222222222222223,2,0.15866233346247716
90.0,0.8777777777777778,0.925761460489867,0.6288837744533947,0.10311111111111113,0.10666666666666672,90.0,0.9444444444444444,0.8,1.0,tldr,0.0,best_single_signal,90.0,90,0.8777777777777778,0.12222222222222223,2,0.6
85.0,0.8705882352941177,0.8874785723703896,0.46835443037974683,0.12523456790123458,0.1348148148148148,90.0,0.9294117647058824,0.8,0.9444444444444444,tldr,0.0,max_signal,90.0,90,0.8777777777777778,0.12941176470588234,2,1.0
90.0,0.8777777777777778,0.925761460489867,0.6288837744533947,0.10311111111111113,0.10666666666666672,90.0,0.9444444444444444,0.8,1.0,tldr,0.0,rubric_only,90.0,90,0.8777777777777778,0.12222222222222223,2,0.6
0.0,,0.800695494146675,0.23014959723820483,0.7333333333333333,0.7333333333333333,90.0,,,0.0,tldr,0.0,swap_only,90.0,90,0.8777777777777778,,2,1.01
59.0,0.8135593220338984,0.8298444599902794,0.3037974683544304,0.16049382716049373,0.237037037037037,90.0,0.9152542372881356,0.711864406779661,0.6555555555555556,tldr,0.0,self_only,90.0,90,0.8777777777777778,0.18644067796610164,2,1.0
90.0,0.8777777777777778,0.8931332732723097,0.5,0.25,0.37777777777777777,90.0,0.9444444444444444,0.8,1.0,tldr,0.0,raw,90.0,90,0.8777777777777778,0.12222222222222223,2,0.0
84.0,0.9285714285714286,0.9450049833128318,0.7275,0.08269444910287696,0.08444667107285926,90.0,0.9880952380952381,0.8690476190476191,0.9333333333333333,tldr,0.0,logistic_fusion,90.0,90,0.8888888888888888,0.0714285714285714,3,0.3764913002072451
90.0,0.8888888888888888,0.9325853673140055,0.66,0.08844444444444445,0.10888888888888891,90.0,0.9444444444444444,0.8222222222222222,1.0,tldr,0.0,best_single_signal,90.0,90,0.8888888888888888,0.11111111111111116,3,0.6
86.0,0.8837209302325582,0.8923196010525445,0.475,0.11288888888888889,0.12,90.0,0.9418604651162791,0.8023255813953488,0.9555555555555556,tldr,0.0,max_signal,90.0,90,0.8888888888888888,0.11627906976744184,3,1.0
90.0,0.8888888888888888,0.9325853673140055,0.66,0.08844444444444445,0.10888888888888891,90.0,0.9444444444444444,0.8222222222222222,1.0,tldr,0.0,rubric_only,90.0,90,0.8888888888888888,0.11111111111111116,3,0.6
0.0,,0.8028867743326343,0.2,0.7222222222222222,0.7222222222222221,90.0,,,0.0,tldr,0.0,swap_only,90.0,90,0.8888888888888888,,3,1.01
0.0,,0.8739523572253806,0.4125,0.13580246913580238,0.1851851851851852,90.0,,,0.0,tldr,0.0,self_only,90.0,90,0.8888888888888888,,3,1.01
90.0,0.8888888888888888,0.8985570766117925,0.5,0.25,0.38888888888888884,90.0,0.9444444444444444,0.8222222222222222,1.0,tldr,0.0,raw,90.0,90,0.8888888888888888,0.11111111111111116,3,0.0
76.0,0.9605263157894737,0.9747165634492189,0.7678571428571429,0.056624505313890114,0.07227294608884158,90.0,1.0,0.9078947368421053,0.8444444444444444,tldr,0.0,logistic_fusion,90.0,90,0.9333333333333333,0.03947368421052633,4,0.8090809860075943
88.0,0.9431818181818182,0.970909952067335,0.7123015873015873,0.056,0.03999999999999997,90.0,0.9886363636363636,0.8977272727272727,0.9777777777777777,tldr,0.0,best_single_signal,90.0,90,0.9333333333333333,0.05681818181818177,4,0.8
88.0,0.9431818181818182,0.9345871407813445,0.5783730158730159,0.060938271604938275,0.06518518518518514,90.0,0.9886363636363636,0.8977272727272727,0.9777777777777777,tldr,0.0,max_signal,90.0,90,0.9333333333333333,0.05681818181818177,4,1.0
88.0,0.9431818181818182,0.970909952067335,0.7123015873015873,0.056,0.03999999999999997,90.0,0.9886363636363636,0.8977272727272727,0.9777777777777777,tldr,0.0,rubric_only,90.0,90,0.9333333333333333,0.05681818181818177,4,0.8
0.0,,0.8823586543811338,0.30952380952380953,0.7111111111111111,0.7111111111111111,90.0,,,0.0,tldr,0.0,swap_only,90.0,90,0.9333333333333333,,4,1.01
