accepted,accuracy_accepted,cal_auprc,cal_auroc,cal_brier,cal_ece,cal_n_labeled,ci_high,ci_low,coverage,dataset,mean_cost,method,n,n_test,raw_accuracy,risk_accepted,seed,threshold
0.0,,0.5084592460928203,0.4685945633314054,0.4860005973715651,0.48405017921146953,186.0,,,0.0,judgebench,0.0,max_signal,186.0,186,0.510752688172043,,3,1.01
0.0,,0.4854082820883354,0.456390977443609,0.46025537634408603,0.4346774193548386,186.0,,,0.0,judgebench,0.0,rubric_only,186.0,186,0.510752688172043,,3,1.01
0.0,,0.5567152159451738,0.5262579525737421,0.478494623655914,0.478494623655914,186.0,,,0.0,judgebench,0.0,swap_only,186.0,186,0.510752688172043,,3,1.01
0.0,,0.5087223270191207,0.48924233661075767,0.42249103942652344,0.38440860215053757,186.0,,,0.0,judgebench,0.0,self_only,186.0,186,0.510752688172043,,3,1.01
186.0,0.510752688172043,0.5190836912066249,0.5,0.25,0.010752688172043001,186.0,0.5860215053763441,0.44086021505376344,1.0,judgebench,0.0,raw,186.0,186,0.510752688172043,0.489247311827957,3,0.0
0.0,,0.4919964095761057,0.5069380203515264,0.2614797166256238,0.0873104024913661,186.0,,,0.0,judgebench,0.0,logistic_fusion,186.0,186,0.4946236559139785,,4,1.01
0.0,,0.49551341829077816,0.46322849213691025,0.44159247311828,0.4297849462365605,186.0,,,0.0,judgebench,0.0,best_single_signal,186.0,186,0.4946236559139785,,4,1.01
0.0,,0.5299808150281609,0.49965309898242366,0.4999193548387097,0.49838709677419357,186.0,,,0.0,judgebench,0.0,max_signal,186.0,186,0.4946236559139785,,4,1.01
0.0,,0.5463120213914975,0.5427844588344126,0.46412634408602144,0.4647849462365592,186.0,,,0.0,judgebench,0.0,rubric_only,186.0,186,0.4946236559139785,,4,1.01
0.0,,0.5803927442912399,0.5570074005550416,0.44086021505376344,0.44086021505376344,186.0,,,0.0,judgebench,0.0,swap_only,186.0,186,0.4946236559139785,,4,1.01
0.0,,0.5064011089555166,0.5082099907493062,0.43891875746714465,0.42383512544802876,186.0,,,0.0,judgebench,0.0,self_only,186.0,186,0.4946236559139785,,4,1.01
