accuracy_accepted,accuracy_accepted_std,alpha,coverage,coverage_std,n_folds,risk_accepted,risk_accepted_std
,,0.05,0.0,0.0,10,,
,,0.08,0.0,0.0,10,,
0.9473684210526315,0.0,0.1,0.01021505376344086,0.030645161290322586,10,0.052631578947368474,0.0
0.9473684210526315,0.0,0.12,0.01021505376344086,0.030645161290322586,10,0.052631578947368474,0.0
0.896551724137931,0.0,0.15,0.015591397849462365,0.04677419354838709,10,0.10344827586206895,0.0
0.8598684210526315,0.034868421052631604,0.2,0.031720430107526884,0.06827956989247314,10,0.14013157894736844,0.034868421052631604
0.740296118447379,0.11256951402972222,0.25,0.06505376344086021,0.10724290457986638,10,0.2597038815526211,0.11256951402972222
0.6741293458314734,0.09425134573737705,0.3,0.12311827956989248,0.1450108738811069,10,0.3258706541685265,0.09425134573737705
