accepted,accuracy_accepted,cal_auprc,cal_auroc,cal_brier,cal_ece,cal_n_labeled,ci_high,ci_low,coverage,dataset,mean_cost,method,n,n_test,raw_accuracy,risk_accepted,seed,threshold
186.0,0.9032258064516129,0.9070239945628062,0.5,0.25,0.4032258064516129,186.0,0.9408602150537635,0.8602150537634409,1.0,gpt-5_5_judgebench,0.0,raw,186.0,186,0.9032258064516129,0.09677419354838712,2,0.0
184.0,0.9184782608695652,0.9834832477640438,0.8466911764705882,0.07242012654230984,0.04017545408763961,186.0,0.9565217391304348,0.8804347826086957,0.989247311827957,gpt-5_5_judgebench,0.0,logistic_fusion,186.0,186,0.9139784946236559,0.08152173913043481,3,0.19180056004724633
185.0,0.918918918918919,0.9837390464063565,0.8409926470588235,0.07022163440860212,0.04313978494623672,186.0,0.9567567567567568,0.8756756756756757,0.9946236559139785,gpt-5_5_judgebench,0.0,best_single_signal,186.0,186,0.9139784946236559,0.08108108108108103,3,0.6
185.0,0.9135135135135135,0.9134799507133189,0.4970588235294118,0.08661887694145759,0.0878136200716846,186.0,0.9513513513513514,0.8702702702702703,0.9946236559139785,gpt-5_5_judgebench,0.0,max_signal,186.0,186,0.9139784946236559,0.08648648648648649,3,1.0
171.0,0.935672514619883,0.9337522780699716,0.6259191176470589,0.07780764635603343,0.06362007168458786,186.0,0.9649122807017544,0.8947368421052632,0.9193548387096774,gpt-5_5_judgebench,0.0,rubric_only,186.0,186,0.9139784946236559,0.06432748538011701,3,1.0
186.0,0.9139784946236559,0.9204767663761203,0.5272058823529412,0.13978494623655913,0.13978494623655918,186.0,0.9516129032258065,0.8709677419354839,1.0,gpt-5_5_judgebench,0.0,swap_only,186.0,186,0.9139784946236559,0.08602150537634412,3,0.0
180.0,0.9166666666666666,0.9159864502618695,0.5165441176470589,0.08870967741935484,0.09139784946236564,186.0,0.95,0.8722222222222222,0.967741935483871,gpt-5_5_judgebench,0.0,self_only,186.0,186,0.9139784946236559,0.08333333333333337,3,1.0
186.0,0.9139784946236559,0.913544001525396,0.5,0.25,0.4139784946236559,186.0,0.9516129032258065,0.8709677419354839,1.0,gpt-5_5_judgebench,0.0,raw,186.0,186,0.9139784946236559,0.08602150537634412,3,0.0
180.0,0.9222222222222223,0.9871136857480806,0.8875661375661376,0.07034259402627491,0.04966945047483249,186.0,0.9555555555555556,0.8833333333333333,0.967741935483871,gpt-5_5_judgebench,0.0,logistic_fusion,186.0,186,0.9032258064516129,0.07777777777777772,4,0.5534196904513904
175.0,0.92,0.9791978509187317,0.8249007936507936,0.0770989247311828,0.041247311827956774,186.0,0.96,0.8742857142857143,0.9408602150537635,gpt-5_5_judgebench,0.0,best_single_signal,186.0,186,0.9032258064516129,0.07999999999999996,4,0.678
