accuracy,error_rate,n,signal
0.9357976653696498,0.06420233463035019,514,rubric_stable
0.8113207547169812,0.18867924528301883,106,rubric_unstable
0.9269162210338681,0.07308377896613194,561,position_consistent
0.7966101694915254,0.2033898305084746,59,position_inconsistent
0.9198664440734557,0.08013355592654425,599,self_high
0.7619047619047619,0.23809523809523814,21,self_low
