accepted,accuracy_accepted,cal_auprc,cal_auroc,cal_brier,cal_ece,cal_n_labeled,ci_high,ci_low,coverage,dataset,mean_cost,method,n,n_test,raw_accuracy,risk_accepted,seed,threshold
0.0,,0.6825895770340912,0.5494949494949495,0.23217314353654106,0.09350439357577818,186.0,,,0.0,deepseek-chat_judgebench,0.0,logistic_fusion,186.0,186,0.6451612903225806,,0,1.01
0.0,,0.733053240236232,0.5899621212121212,0.2712768817204302,0.20940860215053875,186.0,,,0.0,deepseek-chat_judgebench,0.0,best_single_signal,186.0,186,0.6451612903225806,,0,1.01
0.0,,0.6473087010635022,0.5034090909090909,0.3524492234169654,0.3512544802867384,186.0,,,0.0,deepseek-chat_judgebench,0.0,max_signal,186.0,186,0.6451612903225806,,0,1.01
0.0,,0.6445125703241562,0.4863636363636364,0.34348864994026296,0.32078853046594985,186.0,,,0.0,deepseek-chat_judgebench,0.0,rubric_only,186.0,186,0.6451612903225806,,0,1.01
0.0,,0.672098399849899,0.568939393939394,0.3978494623655914,0.3978494623655914,186.0,,,0.0,deepseek-chat_judgebench,0.0,swap_only,186.0,186,0.6451612903225806,,0,1.01
0.0,,0.6738910931342805,0.5553030303030303,0.3131720430107527,0.27688172043010756,186.0,,,0.0,deepseek-chat_judgebench,0.0,self_only,186.0,186,0.6451612903225806,,0,1.01
186.0,0.6451612903225806,0.6422737643456409,0.5,0.25,0.14516129032258063,186.0,0.7096774193548387,0.5752688172043011,1.0,deepseek-chat_judgebench,0.0,raw,186.0,186,0.6451612903225806,0.3548387096774194,0,0.0
0.0,,0.7347786438962082,0.6010943547310823,0.21926237257612938,0.07400440693913089,186.0,,,0.0,deepseek-chat_judgebench,0.0,logistic_fusion,186.0,186,0.6827956989247311,,1,1.01
0.0,,0.7812804875558836,0.5850794074469505,0.24087043010752693,0.1648924731182797,186.0,,,0.0,deepseek-chat_judgebench,0.0,best_single_signal,186.0,186,0.6827956989247311,,1,1.01
0.0,,0.7093739850619752,0.5006005605231549,0.3154121863799283,0.3118279569892473,186.0,,,0.0,deepseek-chat_judgebench,0.0,max_signal,186.0,186,0.6827956989247311,,1,1.01
0.0,,0.7332052738317354,0.5550513812892033,0.2867383512544803,0.2688172043010753,186.0,,,0.0,deepseek-chat_judgebench,0.0,rubric_only,186.0,186,0.6827956989247311,,1,1.01
0.0,,0.7499276121240087,0.6079674362738556,0.34946236559139787,0.34946236559139787,186.0,,,0.0,deepseek-chat_judgebench,0.0,swap_only,186.0,186,0.6827956989247311,,1,1.01
0.0,,0.7160578055829409,0.5347657813959695,0.2916666666666667,0.26612903225806456,186.0,,,0.0,deepseek-chat_judgebench,0.0,self_only,186.0,186,0.6827956989247311,,1,1.01
186.0,0.6827956989247311,0.7133624521953299,0.5,0.25,0.18279569892473113,186.0,0.7473118279569892,0.6182795698924731,1.0,deepseek-chat_judgebench,0.0,raw,186.0,186,0.6827956989247311,0.31720430107526887,1,0.0
0.0,,0.7775054360494614,0.6184065934065934,0.20602416409280683,0.06273154445316506,186.0,,,0.0,deepseek-chat_judgebench,0.0,logistic_fusion,186.0,186,0.6989247311827957,,2,1.01
36.0,0.8611111111111112,0.7976743723917701,0.6115384615384616,0.229625806451613,0.1555913978494624,186.0,0.9722222222222222,0.75,0.1935483870967742,deepseek-chat_judgebench,0.0,best_single_signal,186.0,186,0.6989247311827957,0.13888888888888884,2,0.95
0.0,,0.6957839598386029,0.49615384615384617,0.30167264038231784,0.30286738351254483,186.0,,,0.0,deepseek-chat_judgebench,0.0,max_signal,186.0,186,0.6989247311827957,,2,1.01
0.0,,0.7274921577001073,0.5354395604395604,0.2795698924731183,0.25806451612903225,186.0,,,0.0,deepseek-chat_judgebench,0.0,rubric_only,186.0,186,0.6989247311827957,,2,1.01
0.0,,0.7451396069551779,0.5630494505494505,0.3763440860215054,0.3763440860215054,186.0,,,0.0,deepseek-chat_judgebench,0.0,swap_only,186.0,186,0.6989247311827957,,2,1.01
0.0,,0.6935069521486479,0.5200549450549451,0.2849462365591398,0.26881720430107525,186.0,,,0.0,deepseek-chat_judgebench,0.0,self_only,186.0,186,0.6989247311827957,,2,1.01
186.0,0.6989247311827957,0.6965044645585455,0.5,0.25,0.19892473118279574,186.0,0.7634408602150538,0.6290322580645161,1.0,deepseek-chat_judgebench,0.0,raw,186.0,186,0.6989247311827957,0.30107526881720426,2,0.0
0.0,,0.7369637770316944,0.5692349137931034,0.22080825171153676,0.06598337660810132,186.0,,,0.0,deepseek-chat_judgebench,0.0,logistic_fusion,186.0,186,0.6881720430107527,,3,1.01
35.0,0.8857142857142857,0.7965690787626485,0.6084994612068966,0.23848817204301073,0.16505376344086037,186.0,0.9714285714285714,0.7714285714285715,0.1881720430107527,deepseek-chat_judgebench,0.0,best_single_signal,186.0,186,0.6881720430107527,0.11428571428571432,3,0.95
0.0,,0.683034695648493,0.4921875,0.3130227001194743,0.31541218637992824,186.0,,,0.0,deepseek-chat_judgebench,0.0,max_signal,186.0,186,0.6881720430107527,,3,1.01
0.0,,0.7124275565955372,0.5432381465517241,0.28853046594982074,0.27419354838709675,186.0,,,0.0,deepseek-chat_judgebench,0.0,rubric_only,186.0,186,0.6881720430107527,,3,1.01
0.0,,0.6848768438463467,0.521551724137931,0.3924731182795699,0.3924731182795699,186.0,,,0.0,deepseek-chat_judgebench,0.0,swap_only,186.0,186,0.6881720430107527,,3,1.01
0.0,,0.6879659600866165,0.4955549568965517,0.30376344086021506,0.29569892473118276,186.0,,,0.0,deepseek-chat_judgebench,0.0,self_only,186.0,186,0.6881720430107527,,3,1.01
186.0,0.6881720430107527,0.6881454936475953,0.5,0.25,0.18817204301075274,186.0,0.7526881720430108,0.6236559139784946,1.0,deepseek-chat_judgebench,0.0,raw,186.0,186,0.6881720430107527,0.31182795698924726,3,0.0
0.0,,0.7412719524367846,0.5428196721311476,0.2371277930304691,0.12131412903149665,186.0,,,0.0,deepseek-chat_judgebench,0.0,logistic_fusion,186.0,186,0.6720430107526881,,4,1.01
41.0,0.8780487804878049,0.7628074170090458,0.572983606557377,0.25545698924731197,0.1951612903225815,186.0,0.975609756097561,0.7804878048780488,0.22043010752688172,deepseek-chat_judgebench,0.0,best_single_signal,186.0,186,0.6720430107526881,0.12195121951219512,4,0.95
0.0,,0.7138323576442287,0.5,0.3279569892473118,0.32795698924731187,186.0,,,0.0,deepseek-chat_judgebench,0.0,max_signal,186.0,186,0.6720430107526881,,4,1.01
0.0,,0.7092732912029023,0.5007868852459016,0.32078853046594985,0.30645161290322576,186.0,,,0.0,deepseek-chat_judgebench,0.0,rubric_only,186.0,186,0.6720430107526881,,4,1.01
0.0,,0.7273061914969845,0.5651147540983606,0.3870967741935484,0.3870967741935484,186.0,,,0.0,deepseek-chat_judgebench,0.0,swap_only,186.0,186,0.6720430107526881,,4,1.01
0.0,,0.7116650750017101,0.5221639344262295,0.3064516129032258,0.2849462365591398,186.0,,,0.0,deepseek-chat_judgebench,0.0,self_only,186.0,186,0.6720430107526881,,4,1.01
186.0,0.6720430107526881,0.7138323576442287,0.5,0.25,0.17204301075268813,186.0,0.7365591397849462,0.6021505376344086,1.0,deepseek-chat_judgebench,0.0,raw,186.0,186,0.6720430107526881,0.32795698924731187,4,0.0
0.0,,0.7724245841511952,0.5939672131147541,0.23957886163774955,0.15101250755509202,186.0,,,0.0,deepseek-chat_judgebench,0.0,logistic_fusion,186.0,186,0.6720430107526881,,5,1.01
