accuracy_accepted,accuracy_accepted_std,alpha,coverage,coverage_std,n_folds,risk_accepted,risk_accepted_std
,,0.05,0.0,0.0,10,,
,,0.08,0.0,0.0,10,,
,,0.1,0.0,0.0,10,,
0.8571428571428571,0.0,0.12,0.015555555555555555,0.04666666666666666,10,0.1428571428571429,0.0
0.8122923588039868,0.04485049833887039,0.15,0.06333333333333332,0.14572509210542914,10,0.1877076411960133,0.04485049833887039
0.817389060887513,0.050890980659087766,0.2,0.1622222222222222,0.21666381764508627,10,0.1826109391124871,0.050890980659087766
0.8022789283198953,0.10372619996282675,0.25,0.38222222222222224,0.29996707638269277,10,0.19772107168010472,0.10372619996282675
0.7952342549661988,0.09462818718226881,0.3,0.6433333333333333,0.30284453902095515,10,0.2047657450338012,0.09462818718226881
