accuracy,error_rate,n,signal
0.7749077490774908,0.22509225092250917,271,rubric_stable
0.3448275862068966,0.6551724137931034,29,rubric_unstable
0.7732342007434945,0.22676579925650553,269,position_consistent
0.3870967741935484,0.6129032258064516,31,position_inconsistent
0.75,0.25,288,self_high
0.3333333333333333,0.6666666666666667,12,self_low
