accepted,accuracy_accepted,cal_auprc,cal_auroc,cal_brier,cal_ece,cal_n_labeled,ci_high,ci_low,coverage,dataset,mean_cost,method,n,n_test,raw_accuracy,risk_accepted,seed,threshold
0.0,,0.924756856540282,0.8449519230769231,0.13353743506856564,0.07500752033461673,90.0,,,0.0,deepseek-chat_tldr,0.0,logistic_fusion,90.0,90,0.7111111111111111,,0,1.01
0.0,,0.8212540474165618,0.7265625,0.17777777777777778,0.17777777777777776,90.0,,,0.0,deepseek-chat_tldr,0.0,best_single_signal,90.0,90,0.7111111111111111,,0,1.01
0.0,,0.7471571850976098,0.5769230769230769,0.2641975308641975,0.2740740740740741,90.0,,,0.0,deepseek-chat_tldr,0.0,max_signal,90.0,90,0.7111111111111111,,0,1.01
0.0,,0.7348598417981805,0.5949519230769231,0.24567901234567893,0.21851851851851847,90.0,,,0.0,deepseek-chat_tldr,0.0,rubric_only,90.0,90,0.7111111111111111,,0,1.01
0.0,,0.8212540474165618,0.7265625,0.17777777777777778,0.17777777777777776,90.0,,,0.0,deepseek-chat_tldr,0.0,swap_only,90.0,90,0.7111111111111111,,0,1.01
0.0,,0.7137043951258538,0.5144230769230769,0.2777777777777778,0.26666666666666666,90.0,,,0.0,deepseek-chat_tldr,0.0,self_only,90.0,90,0.7111111111111111,,0,1.01
90.0,0.7111111111111111,0.7013833396385527,0.5,0.25,0.21111111111111114,90.0,0.8,0.6222222222222222,1.0,deepseek-chat_tldr,0.0,raw,90.0,90,0.7111111111111111,0.28888888888888886,0,0.0
21.0,0.8095238095238095,0.7869445565431988,0.7580316165221825,0.17276852248276164,0.11940664752032053,90.0,0.9523809523809523,0.6190476190476191,0.23333333333333334,deepseek-chat_tldr,0.0,logistic_fusion,90.0,90,0.5888888888888889,0.19047619047619047,1,0.8569317488868107
0.0,,0.7870873525934714,0.7243753187149413,0.23333333333333334,0.23333333333333336,90.0,,,0.0,deepseek-chat_tldr,0.0,best_single_signal,90.0,90,0.5888888888888889,,1,1.01
0.0,,0.6346144874035415,0.5040795512493625,0.40617283950617283,0.4037037037037037,90.0,,,0.0,deepseek-chat_tldr,0.0,max_signal,90.0,90,0.5888888888888889,,1,1.01
0.0,,0.642593308121987,0.5191228964813871,0.3777777777777776,0.35555555555555557,90.0,,,0.0,deepseek-chat_tldr,0.0,rubric_only,90.0,90,0.5888888888888889,,1,1.01
