lo,hi,n,mean_conf,accuracy
0.0,0.1,2,0.0648800223292925,0.5
0.2,0.3,2,0.2871920454377986,0.0
0.3,0.4,1,0.39702580561403805,1.0
0.9,1.0,95,0.9947118601319036,1.0
