lo,hi,n,mean_conf,accuracy
0.1,0.2,2,0.18352304155764648,0.5
0.2,0.3,5,0.2354193876890856,0.8
0.3,0.4,113,0.3792222654525149,0.3893805309734513
0.4,0.5,294,0.4410613139546585,0.5034013605442177
0.5,0.6,137,0.5370034713409001,0.48905109489051096
0.6,0.7,30,0.6394903760436708,0.5666666666666667
0.7,0.8,14,0.7583591118762356,0.6428571428571429
0.8,0.9,14,0.8412322930495623,0.7857142857142857
0.9,1.0,11,0.9252238648785105,0.6363636363636364
