lo,hi,n,mean_conf,accuracy
0.0,0.1,7,0.0665309904335275,0.0
0.1,0.2,3,0.18113761058837227,0.3333333333333333
0.2,0.3,6,0.25938914921504325,0.16666666666666666
0.3,0.4,2,0.3222566993211225,0.5
0.4,0.5,4,0.456889236199361,0.75
0.5,0.6,2,0.5555010860070035,1.0
0.6,0.7,1,0.6481033988576272,0.0
0.7,0.8,18,0.7705454317343993,0.7222222222222222
0.8,0.9,46,0.8390770295357278,0.8260869565217391
0.9,1.0,211,0.9780061906223532,0.9715639810426541
